number,real_comment,translated_comment
134,アメリカに住んでいます。クリスマスの時、家族といっしょに晩ご飯を食べます。あと、プレゼントをこうかんします。クリスマスの時、大学の冬休みだから、うれしいになります。このビデオのタイプが好きです。これはいい聞きの練習ですから。ありがとうございます。,アメリカに住んでいます。クリスマスの時、家族といっしょに晩ご飯を食べます。あと、プレゼントをこうかんします。クリスマスの時、大学の冬休みだから、うれしいになります。このビデオのタイプが好きです。これはいい聞きの練習ですから。ありがとうございます。
135,"Obrigada pelo vídeo, tenho acompanhado buscando compreender melhor as palavras, seus vídeos são ótimos.","Obrigada pelo vídeo, tenho acompanhado buscando compreender melhor as palavras, seus vídeos são ótimos."
136,"Me being a fatty only understood, egg, itchiban ramen, and Kentucky fried chicken... its a start!","Me being a fatty only understood, egg, itchiban ramen, and Kentucky fried chicken... its a start!"
137,"Thank you for sharing this video! I found very interesting that Japanese called chicken thigh meat as もも肉, like peach meat 😂","Thank you for sharing this video! I found very interesting that Japanese called chicken thigh meat as もも肉, like peach meat 😂"
138,素敵なVLOGですね、勉強だけでなく、落ち着かせる声で、全然授業のように感じられませんね。ただ、リラックスするためにも素敵てすね。ありがとうございます。スペインごでも同じようなプログを探していましたけど、そのような、優しく話して、顔さえ出せないフロッグはほかにはないようです。ありがとうございます,素敵なVLOGですね、勉強だけでなく、落ち着かせる声で、全然授業のように感じられませんね。ただ、リラックスするためにも素敵てすね。ありがとうございます。スペインごでも同じようなプログを探していましたけど、そのような、優しく話して、顔さえ出せないフロッグはほかにはないようです。ありがとうございます
139,このビデオを見て、日本でクリスマスのときたのしそうです<br>私今日本語を勉強中 私にとってこのビデオは分かりやすいですね、本当にありがとうございます<br>楽しかったです😊,このビデオを見て、日本でクリスマスのときたのしそうです<br>私今日本語を勉強中 私にとってこのビデオは分かりやすいですね、本当にありがとうございます<br>楽しかったです😊
140,どうもありがとうございました。せいとにShareします。,どうもありがとうございました。せいとにShareします。
141,Another sellout grifting for cash,Another sellout grifting for cash
142,美しい景色を見て、このビデオを通して日本の文化を学ぶことができてとてもうれしいです。日本ですぐに働くことができるのが待ちきれません,美しい景色を見て、このビデオを通して日本の文化を学ぶことができてとてもうれしいです。日本ですぐに働くことができるのが待ちきれません
143,クリスマスはだいたい家族とか友達とか恋人と出かけたり、プレゼントを交換したりします。,クリスマスはだいたい家族とか友達とか恋人と出かけたり、プレゼントを交換したりします。
144,정말로 너무나 감사한 컨텐츠 입니다. 감사합니다.선생님,정말로 너무나 감사한 컨텐츠 입니다. 감사합니다.선생님
145,動画、ありがとうございます。とても聞き易くて、面白いです👍,動画、ありがとうございます。とても聞き易くて、面白いです👍
146,"THE BEST for practice! Arigatou gozaimasu 🙏🙏🙏💖please keep doing more video with tabemono \ supermarkets and so on, for beginners! :-)))🥰","THE BEST for practice! Arigatou gozaimasu 🙏🙏🙏💖please keep doing more video with tabemono \ supermarkets and so on, for beginners! :-)))🥰"
147,10pack of eggs costs 280jpy ????<br>In Australia currently (Melbourne anyway) a 12pack of eggs costs ~8-10AUD which is about 1000jpy.<br>Just saying.,10pack of eggs costs 280jpy ????<br>In Australia currently (Melbourne anyway) a 12pack of eggs costs ~8-10AUD which is about 1000jpy.<br>Just saying.
148,ありがとうございます😊,ありがとうございます😊
149,"I&#39;m a teenager who is learning Japanese starting with the basics, listening to you talk about your daily life is helping me learn new words and reading too! I hope your channel gains even more fans!💞💞💞","I&#39;m a teenager who is learning Japanese starting with the basics, listening to you talk about your daily life is helping me learn new words and reading too! I hope your channel gains even more fans!💞💞💞"
150,me in my japanese learning journey again! &lt;3,me in my japanese learning journey again! &lt;3
151,"No idea why the algorithm recommended this video as I’m not actively trying to learn Japanese, however, I put this on in the background just on a whim and it was unironically the most soothing thing I’ve listened to in a very long time. Thanks for the great video! 😂","No idea why the algorithm recommended this video as I’m not actively trying to learn Japanese, however, I put this on in the background just on a whim and it was unironically the most soothing thing I’ve listened to in a very long time. Thanks for the great video! 😂"
152,Il Giappone è davvero bellissimo❤❤,Il Giappone è davvero bellissimo❤❤
153,"€1,00❤","€1,00❤"
154,"Just subscribed after watching this video! It was very helpful and I appreciate the Japanese subtitles with furigana! Sometimes when I watch Japanese learning videos, I think there is too much English involved so it doesn’t push me out of my comfort zone as much as I’d like but this video is amazing!","Just subscribed after watching this video! It was very helpful and I appreciate the Japanese subtitles with furigana! Sometimes when I watch Japanese learning videos, I think there is too much English involved so it doesn’t push me out of my comfort zone as much as I’d like but this video is amazing!"
155,ニセ、ファンタｓ地ｃ、ｇレアｔ、５おｄ,ニセ、ファンタｓ地ｃ、ｇレアｔ、５おｄ
156,合うぇ染,合うぇ染
157,"As a relative beginner, this is immensely helpful. Thank you!","As a relative beginner, this is immensely helpful. Thank you!"
158,ありがとうございます。,ありがとうございます。
159,선생님 채널을 애청하면서 공부에 대한 열망이 많이 생겼지만 ~<br> <br>초보수준이라 잘 할 수 있을런지 망설이고 만 있습니다. <br><br>선생님의 목소리와 선명한 발음에 매료되어 알아듣지 못해도 매일 보고 있다가 처음 댓글을 써 봅니다<br><br>감사합니다 😊,선생님 채널을 애청하면서 공부에 대한 열망이 많이 생겼지만 ~<br> <br>초보수준이라 잘 할 수 있을런지 망설이고 만 있습니다. <br><br>선생님의 목소리와 선명한 발음에 매료되어 알아듣지 못해도 매일 보고 있다가 처음 댓글을 써 봅니다<br><br>감사합니다 😊
160,私はインドネシア人です。日本で働くために、日本語勉強しています。<br>このチャンネルは私に本当に手伝っています。本当にありがとうございました。<br><br>Terima kasih. 🙂,私はインドネシア人です。日本で働くために、日本語勉強しています。<br>このチャンネルは私に本当に手伝っています。本当にありがとうございました。<br><br>Terima kasih. 🙂
161,"I live in Chennai, south India. Here on christmas we attend church service thanking God for sending His Son to redeem the earth. Celebrations follow only after that.","I live in Chennai, south India. Here on christmas we attend church service thanking God for sending His Son to redeem the earth. Celebrations follow only after that."
162,クリスマスに毎年食べる中華料理 (does google translate suck?),クリスマスに毎年食べる中華料理 (does google translate suck?)
163,すばらしいですね！😊,すばらしいですね！😊
164,;-;,;-;
165,"im just starting my japanese learning journey! i can&#39;t understand much as for now (only basic words, some verbs), but im gonna be back to this video in some time!! cant wait to rewatch it while inderstanding at least a bit more!","im just starting my japanese learning journey! i can&#39;t understand much as for now (only basic words, some verbs), but im gonna be back to this video in some time!! cant wait to rewatch it while inderstanding at least a bit more!"
166,声がめちゃやわらかい！！本当にASMRみたい、もっとこれを見るかもねえ,声がめちゃやわらかい！！本当にASMRみたい、もっとこれを見るかもねえ
167,Thank a lot,Thank a lot
168,Hola 🌸soy de mexico🇲🇽🌸,Hola 🌸soy de mexico🇲🇽🌸
169,the main thing I am wandering is why food in japan is so damn cheap when you compare to America. like where I am at meat like that would be $5.33 a pound. and I live in the south close to a ton of farms!,the main thing I am wandering is why food in japan is so damn cheap when you compare to America. like where I am at meat like that would be $5.33 a pound. and I live in the south close to a ton of farms!
170,❤❤,❤❤
171,its great even tho im a beginner who understands nearly nothing,its great even tho im a beginner who understands nearly nothing
172,damn her English accent 🤩,damn her English accent 🤩
173,what does 十個入り mean?,what does 十個入り mean?
174,"Terimakasih banyak telah berbagi ceritamu dengan membantu kami, suaramu sangat lembut,telah bertambah kosakata baru sungguh luar biasa terimakasih banyak.. doa terbaik untukmu,meski aku tidak merayakan natal aku suka melihat orang yang merayakan natal terlihat menyenangkan 😊","Terimakasih banyak telah berbagi ceritamu dengan membantu kami, suaramu sangat lembut,telah bertambah kosakata baru sungguh luar biasa terimakasih banyak.. doa terbaik untukmu,meski aku tidak merayakan natal aku suka melihat orang yang merayakan natal terlihat menyenangkan 😊"
175,あたしの夫日本人だから毎日日本語勉強します。日本語ちゃんと話すと彼の嬉し顔見ますのは楽しみです。<br>やくにたつ全部ビデオありがとう! 💖,あたしの夫日本人だから毎日日本語勉強します。日本語ちゃんと話すと彼の嬉し顔見ますのは楽しみです。<br>やくにたつ全部ビデオありがとう! 💖
176,"Thank you for this great listening video!  Your Japanese is so clear and easy to understand!  I just found and subscribed to your channel, so I plan to listen to it a few more times as well as your other videos.   I&#39;ve lived in Kanagawa for 4.5 years with my Japanese wife.  She wants to speak better English and I want to speak better Japanese, so we try to balance our language use.   Thank you again!  To answer  your question, my wife and I are Christian, so we typically celebrate by decorating our house (inside and out) with many Christmas decorations and a Christmas tree.  We typically exchange a few gifts on Christmas morning, but we didn&#39;t do that this year since we bought ourselves a new car.  haha   I love to roast a turkey for dinner, but since moving to Japan, we don&#39;t have a large oven, so now we have a smaller meal or go to a restaurant.  Happy New Year!","Thank you for this great listening video!  Your Japanese is so clear and easy to understand!  I just found and subscribed to your channel, so I plan to listen to it a few more times as well as your other videos.   I&#39;ve lived in Kanagawa for 4.5 years with my Japanese wife.  She wants to speak better English and I want to speak better Japanese, so we try to balance our language use.   Thank you again!  To answer  your question, my wife and I are Christian, so we typically celebrate by decorating our house (inside and out) with many Christmas decorations and a Christmas tree.  We typically exchange a few gifts on Christmas morning, but we didn&#39;t do that this year since we bought ourselves a new car.  haha   I love to roast a turkey for dinner, but since moving to Japan, we don&#39;t have a large oven, so now we have a smaller meal or go to a restaurant.  Happy New Year!"
177,Seeing the eggs be in a plastic container shocked me more then expected,Seeing the eggs be in a plastic container shocked me more then expected
178,"this is such a great channel, i&#39;m happy i found it! happy new year!","this is such a great channel, i&#39;m happy i found it! happy new year!"
179,"こんにちは ふみさん. Watching from America. I have always been interested in Japanese culture, music and entertainment since I was 5. Now I am 27 and I am learning Japanese. I can speak to some level but I have struggled with learning a new language since I speak 3 different languages. I was also afraid of learning Japanese especially with how difficult it is to read kanji. I have learned hiragana and katakana in the past. But I just started learning kanji recently to fulfill my dream to help me read without a translator. Grateful to find a youtuber that provides practice with conversations but also the kanji and hiragana equivalent for the phrases. Thank you for taking the time to upload your videos. You are one of the best and hopefully with your videos, I can return to Japan and be able to have conversations.","こんにちは ふみさん. Watching from America. I have always been interested in Japanese culture, music and entertainment since I was 5. Now I am 27 and I am learning Japanese. I can speak to some level but I have struggled with learning a new language since I speak 3 different languages. I was also afraid of learning Japanese especially with how difficult it is to read kanji. I have learned hiragana and katakana in the past. But I just started learning kanji recently to fulfill my dream to help me read without a translator. Grateful to find a youtuber that provides practice with conversations but also the kanji and hiragana equivalent for the phrases. Thank you for taking the time to upload your videos. You are one of the best and hopefully with your videos, I can return to Japan and be able to have conversations."
180,Yo no hago nada en navidad 😢,Yo no hago nada en navidad 😢
181,"<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=4"">00:04</a><br>みなさん、こんにちは！ (Minasan, konnichiwa!)<br>&quot;Hello, everyone!&quot;<br><br><a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=7"">0:07</a> <br>ここは、スーパーです。&quot; (Koko wa, suupaa desu.) means:<br>&quot;This is a supermarket.&quot;","<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=4"">00:04</a><br>みなさん、こんにちは！ (Minasan, konnichiwa!)<br>&quot;Hello, everyone!&quot;<br><br><a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=7"">0:07</a> <br>ここは、スーパーです。&quot; (Koko wa, suupaa desu.) means:<br>&quot;This is a supermarket.&quot;"
182,私は5年間に日本に住んでいたんです。日本は綺麗な国だと思う日本懐かしいね。またチャンスあれば戻りたいです,私は5年間に日本に住んでいたんです。日本は綺麗な国だと思う日本懐かしいね。またチャンスあれば戻りたいです
183,先生，この動画を作ってありがとうございます．そしてあなたの声がとてもいい声です.でもイスラム教ではクリスマスを祝うことは禁じられています。,先生，この動画を作ってありがとうございます．そしてあなたの声がとてもいい声です.でもイスラム教ではクリスマスを祝うことは禁じられています。
184,"Bagus, terima kasih...","Bagus, terima kasih..."
185,"Thanks for the help. Im Learning japanese using duolingo. This is helpful in the &quot;real world&quot;. Great motivating speech you gave at the end. &quot;Even if it feels like im not getting better, progress is happening beneath the surface&quot;🫡👏🏾🫱🏽‍🫲🏾🙏🏽👍🏾","Thanks for the help. Im Learning japanese using duolingo. This is helpful in the &quot;real world&quot;. Great motivating speech you gave at the end. &quot;Even if it feels like im not getting better, progress is happening beneath the surface&quot;🫡👏🏾🫱🏽‍🫲🏾🙏🏽👍🏾"
186,"と&quot;うも ありか&quot;とう  こ&quot;さ&quot;います<br>しつれい て&quot;すか&quot;, スーハ°ー  と&quot;こ て&quot;すか。","と&quot;うも ありか&quot;とう  こ&quot;さ&quot;います<br>しつれい て&quot;すか&quot;, スーハ°ー  と&quot;こ て&quot;すか。"
187,🗝️A7X🗽,🗝️A7X🗽
188,"Starting my Japanese learning journey this year, and I can already  pick out words here and there! Thank you for the videos!","Starting my Japanese learning journey this year, and I can already  pick out words here and there! Thank you for the videos!"
189,"Very helpful video! Everything was clear, the text was helpful, and it&#39;s very nice to see typical, everyday scenes and how to navigate them. Thank you!","Very helpful video! Everything was clear, the text was helpful, and it&#39;s very nice to see typical, everyday scenes and how to navigate them. Thank you!"
190,이유는 모르겠지만 불명증이 해결되었습니다 감사합니다🎉,이유는 모르겠지만 불명증이 해결되었습니다 감사합니다🎉
191,"友達が同じブランドの納豆を買うように言いました。 今日は朝食に納豆とご飯を食べます！お疲れ様でした！私はあなたの買い物のルーチンを見るのが好きです。In the US, I live in a smaller city, our shopping carts usually get too full and you have to use your car to fill up all your groceries. But now that I am living in Japan, I usually buy groceries every few days based on what I want to cook because I have to carry everything in a tote bag and walk home. I have to use a translation app whenever I buy packaged products and I don’t know what is inside. It’s a fun experience. But I enjoy shopping and use it as a opportunity to learn the Japanese language.","友達が同じブランドの納豆を買うように言いました。 今日は朝食に納豆とご飯を食べます！お疲れ様でした！私はあなたの買い物のルーチンを見るのが好きです。In the US, I live in a smaller city, our shopping carts usually get too full and you have to use your car to fill up all your groceries. But now that I am living in Japan, I usually buy groceries every few days based on what I want to cook because I have to carry everything in a tote bag and walk home. I have to use a translation app whenever I buy packaged products and I don’t know what is inside. It’s a fun experience. But I enjoy shopping and use it as a opportunity to learn the Japanese language."
192,Super useful!,Super useful!
193,최고의 채널 발견,최고의 채널 발견
194,もうすく私は七十ニ歳です。一般的家にいます。毎朝時々スアンロッフアインで友達と一緒にテニスをしま。現在クリスマス家にいますが今年の最後の日兄さんの家にパーテイーにします。大丈夫です。この動画によると、女の先生はケンタッギイフライチッケンを作るのが本当に得意です。日本に滞在した時々いつでも寒くて、刺身を食べながらビールを飲んで、幸せですね。交通は便利だし、安全だし、人は親切ですから、世界中なら日本に住みたいんです。,もうすく私は七十ニ歳です。一般的家にいます。毎朝時々スアンロッフアインで友達と一緒にテニスをしま。現在クリスマス家にいますが今年の最後の日兄さんの家にパーテイーにします。大丈夫です。この動画によると、女の先生はケンタッギイフライチッケンを作るのが本当に得意です。日本に滞在した時々いつでも寒くて、刺身を食べながらビールを飲んで、幸せですね。交通は便利だし、安全だし、人は親切ですから、世界中なら日本に住みたいんです。
195,ありがとうございます。this was super helpful listen excerise for me. I have been learning for a year and a few months.,ありがとうございます。this was super helpful listen excerise for me. I have been learning for a year and a few months.
196,I love the way you teach us thanks😊 you look beautifull,I love the way you teach us thanks😊 you look beautifull
197,THANK YOU!❤,THANK YOU!❤
198,"You&#39;re teaching me Kanji characters in a few minutes 😂. <br>I&#39;m learning Japanese currently, btw🎉","You&#39;re teaching me Kanji characters in a few minutes 😂. <br>I&#39;m learning Japanese currently, btw🎉"
199,"Love this vlog-type listening practice. I was looking for something that helps me study and i think your videos are perfect. Good speed, clear speech, interesting daily and casual topics that also help me understand Japanese culture more. Additionally, I also like that the videos are around 20 minutes long - I sometimes keep them running as background noise :)","Love this vlog-type listening practice. I was looking for something that helps me study and i think your videos are perfect. Good speed, clear speech, interesting daily and casual topics that also help me understand Japanese culture more. Additionally, I also like that the videos are around 20 minutes long - I sometimes keep them running as background noise :)"
200,Hello from Korea! Japanese supermarket looks very familiar. I thought you were shopping here in my neighborhood. Thank you for sharing your life. I don&#39;t speak Japanese well but thanks to Korean subtitles I have no difficulty understanding the video. Thank you~~~,Hello from Korea! Japanese supermarket looks very familiar. I thought you were shopping here in my neighborhood. Thank you for sharing your life. I don&#39;t speak Japanese well but thanks to Korean subtitles I have no difficulty understanding the video. Thank you~~~
